sid,tid,fid,ss,et,label,score
0,83,10,2,241,1,0.5993543863296509
0,27,25,3,366,1,0.7361901998519897
0,59,20,2,235,1,0.38627442717552185
0,51,20,2,355,1,0.9209133386611938
0,12,5,2,289,1,0.9226487278938293
0,0,10,3,28,1,0.8924621939659119
0,67,20,2,116,0,0.03502359986305237
0,32,15,3,104,1,0.5435311198234558
0,37,25,2,266,1,0.9206613898277283
0,75,25,2,348,0,0.9980348944664001
0,81,0,2,183,1,0.9949222207069397
0,18,15,2,435,1,0.6989752650260925
0,6,0,2,170,1,0.998524010181427
0,66,15,2,77,1,0.653274655342102
0,22,25,2,250,1,0.7656764984130859
0,45,15,2,119,1,0.9744595885276794
0,6,25,2,170,1,0.9971460700035095
0,19,5,3,176,1,0.7308139204978943
0,3,20,3,306,1,0.9833171963691711
0,35,20,2,17,1,0.9986628293991089
0,48,25,3,29,1,0.9850921034812927
0,21,10,2,211,1,0.9860420823097229
0,93,5,3,310,1,0.6887751817703247
0,0,20,3,28,1,0.4706110656261444
0,73,20,2,295,0,0.993998646736145
0,55,15,2,119,1,0.9327850937843323
0,21,20,2,211,1,0.7683596014976501
0,26,0,2,30,1,0.9982292056083679
0,64,10,2,374,1,0.318482369184494
0,37,5,2,266,1,0.7863510251045227
0,86,10,3,174,0,0.008707009255886078
0,70,20,2,181,0,0.9836635589599609
0,46,15,2,154,1,0.7678104043006897
0,48,0,3,29,1,0.9981739521026611
0,18,0,2,435,1,0.9955580830574036
0,69,20,2,14,1,0.9781991839408875
0,3,0,3,306,1,0.9945613741874695
0,8,15,2,208,1,0.9809536933898926
0,17,0,2,416,1,0.9743761420249939
0,85,25,2,107,1,0.03444060683250427
0,35,5,2,17,1,0.9977206587791443
0,8,20,2,208,1,0.992642343044281
0,5,15,2,86,1,0.9995695948600769
0,90,25,3,27,0,0.8439404964447021
0,28,15,2,404,1,0.41727757453918457
0,36,0,3,217,0,0.8718796968460083
0,91,15,3,62,0,0.9181855320930481
0,32,10,3,104,1,0.9526634216308594
0,13,5,3,308,1,0.8262946009635925
0,29,5,2,426,1,0.7549697160720825
0,71,0,3,200,0,0.4672129452228546
0,80,25,2,119,1,0.9801251888275146
0,49,0,3,251,0,0.5049654841423035
0,19,25,3,176,1,0.6778163313865662
0,2,10,3,156,0,0.7202659249305725
0,58,20,2,179,0,0.6753597855567932
0,26,5,2,30,1,0.9983853101730347
0,42,20,2,385,1,0.7432780265808105
0,74,25,3,312,1,0.8406053185462952
0,76,20,2,51,1,0.9935677647590637
0,7,20,2,193,1,0.9839425086975098
0,69,5,2,14,1,0.9707557559013367
0,87,15,3,195,0,0.014913837425410748
0,67,15,2,116,0,0.02388431504368782
0,49,5,3,251,0,0.9546917080879211
0,90,0,3,27,0,0.9083894491195679
0,6,10,2,170,1,0.9712913036346436
0,41,15,2,344,0,0.9979642629623413
0,60,0,2,251,1,0.7970775365829468
0,49,20,3,251,0,0.8705084919929504
0,47,10,2,177,1,0.9953613877296448
0,41,0,2,344,0,0.9815223217010498
0,61,15,2,269,1,0.03186337277293205
0,61,25,2,269,1,0.1664968878030777
0,91,0,3,62,0,0.6293227672576904
0,58,0,2,179,0,0.07360972464084625
0,47,20,2,177,1,0.9797753095626831
0,0,5,3,28,1,0.8379803895950317
0,56,25,2,135,1,0.9484198093414307
0,83,5,2,241,1,0.520657479763031
0,31,10,2,88,1,0.9950911998748779
0,52,20,2,374,1,0.988194465637207
0,8,0,2,208,1,0.9974271655082703
0,49,10,3,251,0,0.766841471195221
0,43,10,3,413,1,0.7100067734718323
0,16,0,2,385,1,0.9924978613853455
0,27,15,3,366,1,0.9822520017623901
0,60,25,2,251,1,0.04495428130030632
0,82,0,3,206,1,0.6568565368652344
0,56,10,2,135,1,0.8312716484069824
0,15,20,2,371,1,0.9796519875526428
0,72,20,2,280,1,0.9988969564437866
0,93,20,3,310,1,0.5176393985748291
0,39,5,3,308,1,0.696672260761261
0,62,0,2,342,1,0.9721794724464417
0,50,10,2,310,1,0.992908239364624
0,17,10,2,416,1,0.9577735662460327
0,16,20,2,385,1,0.997621476650238
0,64,5,2,374,1,0.06161782890558243
0,11,25,2,274,0,0.9991600513458252
0,34,20,2,157,1,0.3503325581550598
0,9,5,2,230,1,0.9868924021720886
0,35,15,2,17,1,0.9994301199913025
0,38,0,3,278,1,0.9016382694244385
0,64,25,2,374,1,0.0517328605055809
0,83,20,2,241,1,0.5271928906440735
0,46,0,2,154,1,0.7899878621101379
0,69,25,2,14,1,0.9566769003868103
0,27,0,3,366,1,0.9442417621612549
0,40,20,2,327,0,0.28499987721443176
0,68,20,2,148,0,0.25837385654449463
0,84,25,2,374,1,0.8205564022064209
0,54,15,2,99,1,0.9466897249221802
0,24,10,3,325,1,0.04909959435462952
0,28,25,2,404,1,0.9895093441009521
0,11,15,2,274,0,0.9987529516220093
0,46,20,2,154,1,0.3334275484085083
0,12,25,2,289,1,0.9547967314720154
0,59,15,2,235,1,0.19995874166488647
0,23,15,3,286,1,0.4012138247489929
0,25,15,2,346,1,0.9829061031341553
0,5,25,2,86,1,0.9908208250999451
0,65,10,2,59,1,0.938521683216095
0,39,10,3,308,1,0.7134320139884949
0,36,20,3,217,0,0.5904790759086609
0,41,5,2,344,0,0.9905149936676025
0,44,15,2,429,0,0.9916816353797913
0,53,5,2,393,1,0.9943162798881531
0,56,0,2,135,1,0.9488904476165771
0,84,5,2,374,1,0.2617022693157196
0,83,15,2,241,1,0.9278226494789124
0,4,20,2,38,1,0.9972718358039856
0,66,5,2,77,1,0.4567793607711792
